,job,ratio
15,Architect,7.032998565279771
16,Artist / Art Teacher,1.153832167925485
19,Author,1.066285314324044
21,Baker,2.969261361282572
23,Barber / Beautician,0.5634682509969233
24,Bartender,2.1001809261205175
25,Bill Collector,0.9936292548298068
30,Boilermaker,110.42971789883268
32,Bookkeeper,0.254623998401045
38,Cabinet Maker,23.062246173070914
40,Carpenter,99.10521783143088
45,Chemist,4.582167185932302
47,Clergyman,14.451430488330857
48,Clerical Worker,0.5572461700446951
59,Delivery Man,19.762112356769588
61,Dentist,11.877184011972314
62,Designer,0.8629382783015325
66,Draftsman,6.592745729519671
67,Dressmaker / Seamstress,0.03579240287383184
70,Editor / Reporter,1.1187438665358194
77,Engineer - Civil,22.419054451538848
80,Engineer - Mechanical,34.66560998563574
83,Engraver,3.8356420278192895
84,Entertainer,1.221209067052067
86,Farm Foreman,8.37655552584487
87,Farm Laborer,4.063590821470955
89,Farmer,21.80419116197391
90,Fireman,40.0012442791762
91,Fisherman,25.41860465116279
93,Foremen,7.099117008396364
96,Funeral Director,9.959708802117802
99,Gardener / Groundskeeper,14.43498781114741
102,Household Worker,0.0790752446568037
106,Inspector,6.494121798633726
108,Insurance Agent,1.9406600160346723
109,Janitor,2.9265937653646303
110,Jeweler,5.399689636371262
112,Laborer,10.767289987401469
113,Laundry / Dry Cleaning,0.4295499927609033
114,Lawyer / Judge,5.062380372234865
118,Locomotive Engineer,114.27138199147228
122,Lumberman,67.42495691681027
123,Machinist,38.60453156630748
124,Mail Carrier,6.0385927785673585
125,Manager / Owner,2.8875163339574192
126,Mason,120.02917114674396
128,Meat Cutter,7.871265541090775
129,Mechanic,30.974997347882095
135,Messenger,4.987385464772182
136,Metal Filer,7.057967747196347
138,Metal Worker,39.31544109859851
140,Military,15.363932637768523
144,Miner,108.77891367696938
145,Model Maker,15.71062941827783
149,Musician / Music Teacher,0.7066242671485272
150,Newsboy,3.8073999783340264
151,Nurse,0.07576858544086766
155,Operative,1.266800403113047
159,Painter,12.721777643949023
164,Photographer,2.8955699270194293
165,Physician / Surgeon,6.0894656296348755
168,Plasterer,94.79503935838407
169,Plumber,90.78232538229209
170,Policeman / Detective,10.718544172770951
171,Porter,31.007874642061726
174,Pressman,5.256346977562194
176,Professional - Misc,1.1989471515381138
177,Professor,1.3791153527114868
192,Public Officials,1.624191660583585
195,Railroad Brakeman,163.42090944422853
196,Railroad Conductor,69.66760876148179
198,Real Estate Agent,1.4905190384299685
200,Religious Worker,0.5188694416601496
203,Roller,19.200650452488688
204,Roofer,78.21375079668579
205,Sailor,78.72627737226277
206,Salesman,1.2279520928473227
207,Sawyer,13.324343197653668
215,Security Guard,6.0204801794503044
217,Service Worker,0.7235083035992788
219,Sheriff / Bailiff,7.5416202982417095
220,Ship Officers,38.74839640795382
221,Shipping and Receiving,3.8155043443267465
222,Shoemaker,21.802670843516655
225,Stationary Engineer,61.18730461117624
233,Teacher,0.3363099215461312
244,Ticket Agent,0.9917355251375954
245,Tool Maker,60.153233220962306
246,Truck / Tractor Driver,28.22427671888414
247,Typesetter,4.997306474587027
249,Upholsterer,5.255499019188067
252,Waiter / Waitress,0.22086211742360437
